TABLEDB_BEGIN
4
SECOND
Ns=0.3(810gpm)(15.7metric)
0.295,-1.230
0.430,-1.100
0.550,-0.980
0.620,-0.820
0.634,-0.684
TABLEDB_END
TABLEDB_BEGIN
7
SECOND
Ns=0.48(1320gpm)(25.5metric)
-0.440,-0.340
-0.340,-0.250
-0.230,-0.150
-0.130,-0.060
-0.020,0.030
0.080,0.130
0.190,0.220
0.290,0.310
0.400,0.410
0.500,0.500
0.640,0.520
0.760,0.540
0.910,0.570
1.060,0.620
1.220,0.670
1.380,0.710
1.480,0.750
1.580,0.790
1.620,0.800
1.620,0.810
1.600,0.820
1.560,0.830
1.510,0.830
1.460,0.820
1.390,0.800
1.300,0.770
1.170,0.720
1.060,0.700
1.030,0.760
1.060,0.840
1.080,0.910
1.000,0.940
0.920,0.960
0.870,0.920
0.840,0.900
0.800,0.890
0.770,0.870
0.760,0.860
0.760,0.890
0.770,0.940
0.760,0.920
0.760,0.870
0.750,0.800
0.730,0.750
0.690,0.670
0.690,0.570
0.690,0.470
0.690,0.380
0.690,0.280
0.690,0.180
0.690,0.080
0.690,-0.010
0.690,-0.110
0.690,-0.210
0.690,-0.310
0.630,-0.410
0.570,-0.500
0.510,-0.600
0.450,-0.700
0.400,-0.800
0.340,-0.890
0.280,-0.990
0.220,-1.090
0.160,-1.090
0.100,-1.090
0.040,-1.000
-0.020,-0.900
-0.080,-0.810
-0.130,-0.720
-0.190,-0.620
-0.250,-0.530
-0.310,-0.440
-0.370,-0.340
TABLEDB_END
TABLEDB_BEGIN
8
SECOND
Ns=0.55(1490gpm)(28.8metric)
-0.440,-0.610
-0.340,-0.490
-0.230,-0.360
-0.130,-0.240
-0.020,-0.120
0.080,0.010
0.190,0.130
0.290,0.250
0.400,0.380
0.500,0.500
0.600,0.580
0.770,0.730
0.900,0.880
0.970,1.000
1.110,1.140
1.320,1.300
1.360,1.430
1.360,1.520
1.370,1.600
1.400,1.650
1.470,1.700
1.540,1.720
1.620,1.700
1.690,1.670
1.740,1.620
1.790,1.580
1.770,1.500
1.690,1.430
1.600,1.370
1.460,1.320
